entry_i,exit_i,ret,win,is_sample
1026,1027,0.0019465829306345391,1,0
1028,1029,0.005987947648288415,1,0
1030,1031,0.004799146473914416,1,0
1032,1033,0.004681807168594022,1,0
1034,1035,0.0025065812631585487,1,0
1036,1037,0.0014909532753834246,1,0
1050,1051,-0.008165924308352186,0,0
1052,1053,0.003287431331706437,1,0
1054,1055,0.0009799916854632568,1,0
1056,1057,0.002666659510999504,1,0
1058,1059,0.0039533333381117025,1,0
1060,1061,0.0024647952121174817,1,0
1068,1069,0.0008497503204454981,1,0
1070,1071,0.00010634898539889641,1,0
1072,1073,0.0005252744252018577,1,0
1080,1081,0.002245837610587328,1,0
1082,1083,0.0008064809000283772,1,0
1084,1085,-0.004132765499896121,0,0
1104,1105,0.00196733665042169,1,0
1106,1107,0.0033997940774478565,1,0
1108,1109,0.0021021497585101043,1,0
1110,1111,0.0006907105826074685,1,0
1112,1113,-0.0006044013917848452,0,0
1114,1115,-0.0005246303345660653,0,0
1116,1117,-0.00875168356526168,0,0
1118,1119,-0.001970861163633225,0,0
1120,1121,-0.00775411242790681,0,0
1122,1123,0.0015648619317574297,1,0
1124,1125,-0.0008981513094059242,0,0
1126,1127,0.00024519724455880545,1,0
1134,1135,0.008698438441703867,1,0
1136,1137,-0.008657088811662977,0,0
1138,1139,0.011775438319458882,1,0
1230,1231,0.00564255837755034,1,0
1232,1233,0.001497798008838262,1,0
1234,1235,0.006832382711499181,1,0
1266,1267,-0.0012396507643765442,0,0
1268,1269,0.0008791385610990763,1,0
1270,1271,4.256913106781405e-05,1,0
1290,1291,0.004068808983925187,1,0
1292,1293,0.003511828305985741,1,0
1294,1295,0.008093897540208537,1,0
1302,1303,0.0021259965509190437,1,0
1304,1305,0.012264716007875476,1,0
1306,1307,0.003723357938125218,1,0
1332,1333,0.0005092128699810529,1,0
1334,1335,0.0016225102012249882,1,0
1336,1337,0.004057996610788135,1,0
1344,1345,-0.005746322650304394,0,0
1346,1347,-0.004460325616024739,0,0
1348,1349,0.012791854537705465,1,0
1356,1357,0.0021752812819667905,1,0
1358,1359,0.000773181666748517,1,0
1360,1361,0.0005031933094684852,1,0
1368,1369,0.00010242902553862896,1,0
1370,1371,0.00094548004612018,1,0
1372,1373,0.002332179620566095,1,0
1380,1381,0.003627821894684472,1,0
1382,1383,0.002502820334457296,1,0
1384,1385,0.003643251037214238,1,0
1398,1399,0.00545818807067556,1,0
1400,1401,0.005423759630867915,1,0
1402,1403,0.004493516708831126,1,0
1404,1405,-0.0006231724692735106,0,0
1406,1407,-0.0035905105887907933,0,0
1408,1409,0.0011039173558623984,1,0
1422,1423,-0.00018880378556729045,0,0
1424,1425,-0.001068787244485035,0,0
1426,1427,-0.00013911119553575147,0,0
1428,1429,-4.770238744279632e-06,0,0
1430,1431,0.0015616408912080154,1,0
1432,1433,0.000989027209356558,1,0
1470,1471,-0.001150053458659487,0,0
1472,1473,0.00027275518783028666,1,0
1474,1475,0.004057957395824035,1,0
1482,1483,0.0025418798967082067,1,0
1484,1485,0.00781882902208645,1,0
1486,1487,-0.004390547463515688,0,0
1500,1501,0.0006452984033575426,1,0
1502,1503,0.00018931244447740526,1,0
1504,1505,0.00044670838368253223,1,0
