,1,2,3,4,5
body_pct,0.005301914621612183,-0.011266661570258504,-0.03631224972238073,-0.045288238441547723,-0.04133131508183373
upper_wick,0.003969233760537045,0.017068122222576098,0.02860752153917986,0.027114452423635856,0.018670577840019974
lower_wick,0.00396246173487683,0.017063729535904675,0.02860488206345611,0.027107447488684402,0.01866215452727194
close_pct_hl,0.005084706203537849,-0.011809264159600404,-0.036564562396398465,-0.04460109377502899,-0.041574377444265107
range_pct,-0.005355717524751719,0.02294850807857354,0.028167905335843207,0.023758786314362873,0.02317498270062107
gap_pct,0.01150419087161097,0.0061475281380442845,0.0059724876605691994,-0.02282364200455271,-0.029347822786407594
gap_fill_pct,-0.00014147304851798795,-0.01740450139136042,-0.012303738684038315,-0.029453301870425795,-0.013373524729681549
is_bullish_candle,0.020624687269347842,0.0010049242466038805,-0.009236534179397298,-0.013912725403785336,-0.016848974491746688
is_doji,-0.0020605185790798617,0.012220028043411858,0.017758872010839463,0.016791813628390686,0.021512508499801405
is_inside_bar,0.023437991592634305,0.015737616883346663,-0.005467685695494366,-0.00397726405430951,-0.007578344193738001
is_outside_bar,0.0017274390893957858,-0.0028157160213160243,-0.0010868607380828674,-0.007746200794805451,0.00411554803831326
engulf_bull,-0.01836458477874831,-0.00820520555957252,-0.014114284786318999,0.0007747019256464254,-0.005027847524524144
engulf_bear,0.014035272386255139,0.0321467507668845,0.03752499091945355,0.03476315520191009,0.02349582219964794
rsi_2,-0.0270301821815712,-0.05541366105060412,-0.06905174266227025,-0.07395575449477615,-0.07472497058074408
rsi_3,-0.046939711224708774,-0.07685123315066064,-0.09461423205960615,-0.09892167494636372,-0.09537185544067237
rsi_5,-0.06442718597020979,-0.09701602856094316,-0.10729866131024834,-0.11300817674042254,-0.11811238063950914
rsi_7,-0.06146829863356958,-0.09276931523079925,-0.10854879643102869,-0.12575380239670608,-0.13141581679558353
rsi_14,-0.10049273967435296,-0.13689043282217778,-0.16204010670383703,-0.18117285784566722,-0.19633329485768317
ret_1d,0.017805109698883152,-0.005291783138580802,-0.024791133858022008,-0.04269522047049174,-0.037764915326011714
ret_2d,-0.021607853148826364,-0.06173595807564458,-0.08460570560325904,-0.0876145928851577,-0.07844544728089133
ret_3d,-0.045064158372690746,-0.08317343867617438,-0.09473337153075599,-0.09247531014395147,-0.0916750103135383
ret_5d,-0.06099127534821895,-0.08312033038728107,-0.09524384429425294,-0.10606185690489257,-0.10868609932971843
ret_10d,-0.08893993768073277,-0.1064189233248735,-0.12038678544177137,-0.13918086645594166,-0.15590039134909844
consec_up,-0.006320255866153682,-0.01167560192414401,-0.004491583490467562,-0.003992840586304489,-0.0068143249597735515
consec_down,0.01688079295622962,0.025696778011003597,0.017412212158684312,0.016264618921932712,0.014725629733207079
streak,0.03513340608153555,0.015188231423170164,0.007275666681551852,-0.005482517075478639,-0.007900190385268553
streak_cum,0.0052438485618329835,-0.01582802961026407,-0.01989293644209835,-0.017818075402289038,-0.00926502680037333
price_vs_ema3,-0.020280405570242025,-0.058451132964922305,-0.08015024753450739,-0.0909343944417726,-0.08871178232984435
price_vs_ema5,-0.040339422189390815,-0.08007205002491505,-0.10150430475784375,-0.11362374792235758,-0.11374851771873008
price_vs_ema8,-0.058078326326413826,-0.09748556403720272,-0.12053244334988632,-0.13461199925076756,-0.13828373660703627
price_vs_ema10,-0.0655981068003265,-0.10476078233331475,-0.12872471440196143,-0.1437444622963029,-0.1498595330302103
price_vs_ema13,-0.07374633150158116,-0.11301834970774113,-0.13781753189755797,-0.15375339085294126,-0.16241396310154546
price_vs_ema20,-0.08405044949979634,-0.12388810193885262,-0.14957372858643553,-0.16612255682515403,-0.1771556517124411
ema3_vs_ema8,-0.07982497440214031,-0.11276280222446824,-0.13281133379530052,-0.14563009037448685,-0.15546357886806733
ema5_vs_ema13,-0.09703163310963753,-0.1277819737664272,-0.14908501499877042,-0.16570273466459234,-0.18080877514611426
ema8_vs_ema21,-0.10025144768244525,-0.13002381415482517,-0.1524812492833875,-0.16797417361217556,-0.18272695650127171
stoch5_k,-0.03534803961110505,-0.0718689281657694,-0.09038106506000394,-0.09973944202216689,-0.100051802500362
stoch5_d,-0.06559870679295149,-0.09108000504442719,-0.10204092981917594,-0.10506100149499442,-0.11037622945687939
stoch5_kd,0.029359229842205056,0.012405895767171868,-0.009338480459454722,-0.01766731468605766,-0.011946471891336791
stoch14_k,-0.07705653495239119,-0.11655648999311333,-0.14062772762009662,-0.15416903520125247,-0.1606018426932337
stoch14_kd,0.023187327265154354,-0.006832399325390257,-0.028333353614542978,-0.03443491181031868,-0.02065937735808898
willr_5,-0.03515215731957952,-0.07185032446541958,-0.08999474629741619,-0.09936400555533863,-0.09999147746233387
willr_10,-0.05802185475155307,-0.0961039232677152,-0.11842781625129147,-0.1272597701098873,-0.1314323825979365
willr_14,-0.07700373627946282,-0.11656137603977196,-0.14058205043937982,-0.15416760164719948,-0.16064518728251295
cci_5,-0.024621386288019343,-0.06074004539846549,-0.08125725645234323,-0.09249748616782409,-0.08952742928856244
cci_10,-0.06240452859550246,-0.09620530887698736,-0.11167328925880249,-0.12160835987099251,-0.12678185639695402
cci_20,-0.09701028898297527,-0.13569678914625172,-0.15484673116791078,-0.16846341466121,-0.17829169147098214
bb_pct_10,-0.05473810903862543,-0.09265974945412904,-0.11123691609478269,-0.12248818668068978,-0.12554791236610383
bb_width_10,-0.010763913866016156,-0.003691577243477068,-0.006427041068859271,-0.008162556815417341,2.7683516036692936e-05
bb_squeeze_10,-0.04115959837291963,-0.04563287210758729,-0.05272992993431164,-0.05795890418458888,-0.05734137828845027
bb_pct_20,-0.08930174146004555,-0.13183437889803795,-0.1546435270505455,-0.17061831646701595,-0.17949285301951506
bb_width_20,-0.0027934610096046327,0.005247198009997508,0.004863266674722297,0.00756584530762121,0.014515915144920384
bb_squeeze_20,-0.034618876148522396,-0.03701159176083501,-0.043047528834740466,-0.04176064509908041,-0.03978168126375217
