entry_i,exit_i,ret,win,is_sample
2960,2978,0.0029746416577815958,1,0
2981,2999,0.003276757239870755,1,0
3101,3119,0.007130112195686939,1,0
3120,3138,0.005705305631788963,1,0
3146,3164,0.009435640616241098,1,0
3166,3184,-0.0006380970392469941,0,0
3185,3203,-0.00036963117527415656,0,0
3206,3224,0.0008080722767989522,1,0
3378,3396,0.0006581779309669039,1,0
3404,3422,0.0005345660885720791,1,0
3424,3442,5.532511740448582e-05,1,0
3446,3464,0.0028613447213183085,1,0
3470,3488,0.0014095865258776682,1,0
3500,3518,0.000994254504322644,1,0
3519,3537,9.794568334888063e-05,1,0
3977,3995,0.0053497464641738416,1,0
3997,4015,0.0015911986684917947,1,0
4020,4038,0.0017417302969225546,1,0
4039,4057,0.004349970157585406,1,0
4162,4180,0.007307328364646073,1,0
4182,4200,-0.0015902124323241172,0,0
4383,4401,0.0010180217866228706,1,0
4405,4423,0.0004256332630816269,1,0
