entry_bar,exit_bar,direction,net_ret_pct,win
986,987,SHORT,0.23,1
988,989,SHORT,0.23,1
1007,1008,SHORT,-0.329,0
1031,1032,SHORT,0.56,1
1035,1036,SHORT,0.15,1
1037,1038,SHORT,0.463,1
1072,1073,SHORT,0.195,1
1084,1085,SHORT,0.055,1
1088,1089,SHORT,-0.222,0
1107,1108,SHORT,-0.14,0
1130,1131,SHORT,0.246,1
1141,1142,SHORT,-1.907,0
1178,1179,SHORT,0.126,1
1184,1185,SHORT,0.241,1
1186,1187,SHORT,0.241,1
1192,1193,SHORT,0.102,1
1222,1223,SHORT,0.053,1
1283,1284,SHORT,-1.741,0
1300,1301,SHORT,0.029,1
1315,1316,SHORT,-1.898,0
1321,1322,SHORT,0.237,1
1325,1326,SHORT,-0.533,0
1347,1348,SHORT,-0.095,0
1349,1350,SHORT,-0.586,0
1364,1365,SHORT,0.685,1
1366,1367,SHORT,0.685,1
1395,1396,SHORT,-1.968,0
1401,1402,SHORT,0.44,1
1406,1407,SHORT,-1.319,0
1442,1443,SHORT,0.381,1
1444,1445,SHORT,-0.133,0
1448,1449,SHORT,0.448,1
1450,1451,SHORT,0.448,1
1475,1476,SHORT,-0.62,0
1491,1492,SHORT,0.139,1
1493,1494,SHORT,-0.927,0
1508,1509,SHORT,0.107,1
1510,1511,SHORT,0.205,1
