entry,exit,entry_px,exit_px,direction,units,gross_pnl,cost,net_pnl,equity
2021-10-20,2021-10-25,16580.0,17216.94,LONG,6,3821.64,197.2,3624.44,103624.44
2021-12-07,2021-12-10,16734.77,16507.75,LONG,6,-1362.12,202.64,-1564.76,102059.68
2022-01-26,2022-01-31,16494.61,16793.0,LONG,6,1790.34,200.29,1590.05,103649.73
2022-05-03,2022-05-06,16212.74,15821.74,LONG,6,-2346.0,202.67,-2548.67,101101.06
2022-07-20,2022-07-25,16130.61,16810.71,LONG,6,4080.6,198.85,3881.75,104982.81
2022-09-02,2022-09-07,16481.62,16911.05,LONG,6,2576.58,204.67,2371.91,107354.71
2022-10-07,2022-10-12,17147.62,17364.88,LONG,6,1303.56,208.23,1095.33,108450.04
2023-01-17,2023-01-20,17240.91,17272.46,LONG,6,189.3,209.88,-20.58,108429.47
2023-02-22,2023-02-27,16754.54,17233.42,LONG,6,2873.28,209.84,2663.44,111092.9
2023-04-06,2023-04-11,17474.68,18210.21,LONG,6,4413.18,213.84,4199.34,115292.24
2023-05-23,2023-05-26,17732.17,18321.89,LONG,6,3538.32,220.14,3318.18,118610.42
2023-06-28,2023-07-03,18743.42,19753.0,LONG,6,6057.48,225.12,5832.36,124442.79
2023-09-05,2023-09-08,19131.32,19134.96,LONG,6,21.84,233.86,-212.02,124230.76
2023-09-11,2023-09-14,18498.24,18203.49,LONG,6,-1768.5,233.55,-2002.05,122228.72
2024-03-06,2024-03-11,20836.68,20827.67,LONG,5,-45.05,230.54,-275.59,121953.13
2024-07-02,2024-07-05,23823.55,23370.79,LONG,5,-2263.8,230.13,-2493.93,119459.2
2024-07-08,2024-07-11,23252.78,23417.37,LONG,5,822.95,226.39,596.56,120055.76
2024-09-19,2024-09-24,24414.48,24512.22,LONG,4,390.96,227.28,163.68,120219.43
2024-09-25,2024-09-30,23298.32,23911.0,LONG,5,3063.4,227.53,2835.87,123055.3
2024-10-15,2024-10-18,22609.81,22703.85,LONG,5,470.2,231.78,238.42,123293.72
2025-01-22,2025-01-27,22348.26,22731.79,LONG,5,1917.65,232.14,1685.51,124979.23
2025-01-31,2025-02-05,22124.0,22086.42,LONG,5,-187.9,234.67,-422.57,124556.66
2025-03-27,2025-04-01,23029.1,24039.0,LONG,5,5049.5,234.03,4815.47,129372.13
2025-04-16,2025-04-21,22969.71,23310.32,LONG,5,1703.05,241.26,1461.79,130833.92
