entry,exit,entry_px,exit_px,direction,units,gross_pnl,cost,net_pnl,equity
2021-10-04,2021-10-11,18482.72,17760.82,SHORT,5,3609.5,197.2,3412.3,103412.3
2021-11-18,2021-11-25,17943.02,18216.68,SHORT,5,-1368.3,202.32,-1570.62,101841.68
2022-06-21,2022-06-28,17559.87,17788.34,SHORT,5,-1142.35,199.96,-1342.31,100499.37
2022-08-24,2022-08-31,18350.55,16888.0,SHORT,5,7312.75,197.95,7114.8,107614.17
2022-09-22,2022-09-29,18794.65,17801.65,SHORT,5,4965.0,208.62,4756.38,112370.55
2022-11-25,2022-12-02,20028.54,17954.93,SHORT,5,10368.05,215.76,10152.29,122522.84
2023-05-12,2023-05-19,19185.47,19134.61,SHORT,6,305.16,230.98,74.18,122597.02
2023-06-14,2023-06-21,20276.26,20331.81,SHORT,6,-333.3,231.1,-564.4,122032.62
2023-10-05,2023-10-12,19427.45,18428.72,SHORT,6,5992.38,230.25,5762.13,127794.75
2023-11-28,2023-12-05,21086.86,21109.56,SHORT,6,-136.2,238.89,-375.09,127419.66
2023-12-14,2023-12-21,22276.22,22175.57,SHORT,5,503.25,238.33,264.92,127684.58
2024-01-12,2024-01-19,23168.22,23008.19,SHORT,5,800.15,238.73,561.42,128246.01
2024-04-03,2024-04-10,23063.77,22725.48,SHORT,5,1691.45,239.57,1451.88,129697.89
2024-04-17,2024-04-24,23478.1,23647.86,SHORT,5,-848.8,241.75,-1090.55,128607.34
2024-06-05,2024-06-12,24522.99,24287.49,SHORT,5,1177.5,240.11,937.39,129544.73
2025-03-06,2025-03-13,24305.61,23567.05,SHORT,5,3692.8,241.52,3451.28,132996.01
