entry_i,exit_i,ret,win,is_sample
3001,3013,0.0008655667824735613,1,0
3014,3026,0.0015342187016167811,1,0
3027,3039,0.0004171788878567324,1,0
3041,3053,-0.0011324109142868822,0,0
3301,3313,-0.0009543353327731031,0,0
3315,3327,-0.00012314980280206687,0,0
3335,3347,-0.0007972500324720215,0,0
3355,3367,-0.0028458247748578665,0,0
3451,3463,-0.0012911914566646407,0,0
3464,3476,0.004185003907920742,1,0
3477,3489,0.00021656579395474336,1,0
3490,3502,0.0031353542030232856,1,0
3508,3520,0.007728359870091347,1,0
4200,4212,6.705901357490624e-05,1,0
4213,4225,0.0008782152615227007,1,0
4226,4238,-0.0004162985598454074,0,0
4239,4251,0.000668922853922913,1,0
