strategy,trades,win_rate,net_pnl,avg_win,avg_loss,profit_factor,max_dd
Nifty|5m|S03_EveningStar,131,28.2%,518.5,97.57,-50.7,1.03,525.78
Nifty|5m|S04_CPR_Breakout,127,29.1%,514.43,92.94,-47.71,1.02,559.69
Nifty|5m|S05_SupplyZoneBreakout,151,28.5%,789.66,94.79,-47.82,1.04,543.62
Nifty|5m|S06_ORB,142,26.8%,390.34,89.23,-45.11,1.02,594.51
Nifty|5m|S07_DayHighBreakout,92,30.4%,151.31,94.67,-52.17,0.96,560.85
Nifty|5m|S08_GapFilling,21,19.0%,-436.63,146.44,-80.3,0.49,699.43
Nifty|5m|S09_MATrendFollow,83,26.5%,-279.09,82.78,-46.7,0.8,647.1
Nifty|5m|S10_PPT,184,26.1%,460.45,98.6,-47.09,0.99,767.71
Nifty|5m|S11_GCR,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|5m|S12_RCR,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|5m|S13_MPattern,155,27.7%,-10.3,80.44,-44.88,0.87,624.16
Nifty|5m|S14_WPattern,165,23.0%,-610.14,93.61,-43.6,0.8,1028.32
Nifty|5m|S15_ODR,13,23.1%,-330.91,66.83,-81.58,0.31,542.96
Nifty|5m|S16_GCBO,132,30.3%,699.82,91.07,-44.59,1.13,544.73
Nifty|5m|S17_RCBO,118,22.9%,-200.82,105.67,-45.3,0.86,633.86
Nifty|5m|S18_VirginCPR,182,24.7%,-270.8,89.44,-45.22,0.82,874.36
Nifty|5m|S19_GapDownRejection,3,0.0%,-247.49,0.0,-82.5,0.0,188.63
Nifty|5m|S20_GapUpRejection,7,14.3%,-240.16,68.71,-81.03,0.17,354.33
Nifty|5m|S21_CPRReversal,174,31.6%,760.42,84.42,-41.8,1.12,730.71
Nifty|5m|S22_ExtremeCandle,114,26.3%,190.92,96.98,-47.99,0.9,512.34
Nifty|5m|S23_SupplyZoneReversal,193,25.4%,-394.64,91.56,-47.33,0.84,1439.15
Nifty|5m|S24_GapBorderRejection,171,34.5%,2917.09,96.4,-47.48,1.58,303.31
Nifty|5m|S26_CounterBullTrap,2,50.0%,303.76,228.71,0.0,∞,0.0
Nifty|5m|S27_CounterBearTrap,4,0.0%,-5.5,0.0,-91.05,0.0,182.1
Nifty|5m|S28_VReversal,114,25.4%,252.68,103.48,-44.91,0.98,852.94
Nifty|5m|S29_PowerCandlePullback,2,0.0%,-71.72,0.0,-35.86,0.0,20.88
Nifty|5m|S30_3EMA,83,30.1%,427.42,89.54,-40.18,1.19,523.24
Nifty|15m|S01_OpenDrive,13,23.1%,309.58,192.14,-109.94,0.87,492.06
Nifty|15m|S02_MorningStar,57,15.8%,247.63,176.97,-83.37,0.8,458.44
Nifty|15m|S03_EveningStar,60,18.3%,438.95,153.34,-88.4,0.8,702.95
Nifty|15m|S04_CPR_Breakout,53,22.6%,664.1,158.09,-90.94,0.99,505.79
Nifty|15m|S05_SupplyZoneBreakout,66,22.7%,820.56,150.5,-89.63,1.01,521.34
Nifty|15m|S06_ORB,48,12.5%,101.86,139.17,-86.49,0.6,472.47
Nifty|15m|S07_DayHighBreakout,52,19.2%,440.25,142.69,-84.04,0.89,481.12
Nifty|15m|S08_GapFilling,21,9.5%,-676.0,252.7,-115.59,0.34,997.18
Nifty|15m|S09_MATrendFollow,26,23.1%,281.71,172.79,-86.07,1.1,324.19
Nifty|15m|S10_PPT,85,21.2%,1402.35,178.25,-76.49,1.2,497.92
Nifty|15m|S11_GCR,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|15m|S12_RCR,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|15m|S13_MPattern,51,13.7%,-322.31,123.55,-77.38,0.49,504.89
Nifty|15m|S14_WPattern,54,20.4%,544.62,167.15,-74.68,1.07,312.46
Nifty|15m|S15_ODR,14,7.1%,-810.47,95.37,-106.07,0.1,887.21
Nifty|15m|S16_GCBO,48,27.1%,477.59,164.29,-94.59,1.08,598.3
Nifty|15m|S17_RCBO,42,9.5%,-113.78,182.74,-81.38,0.47,530.25
Nifty|15m|S18_VirginCPR,68,17.6%,-803.02,139.5,-85.02,0.6,966.25
Nifty|15m|S19_GapDownRejection,4,0.0%,-409.3,0.0,-102.32,0.0,341.87
Nifty|15m|S20_GapUpRejection,7,0.0%,-416.0,0.0,-119.99,0.0,486.5
Nifty|15m|S21_CPRReversal,52,15.4%,-507.75,164.91,-84.79,0.6,686.53
Nifty|15m|S22_ExtremeCandle,38,26.3%,867.75,183.16,-71.01,1.43,347.41
Nifty|15m|S23_SupplyZoneReversal,67,14.9%,-165.46,154.17,-79.36,0.61,589.13
Nifty|15m|S24_GapBorderRejection,78,24.4%,1995.27,153.63,-78.6,1.38,543.94
Nifty|15m|S26_CounterBullTrap,5,20.0%,-252.7,240.48,-123.3,0.49,411.56
