entry_i,exit_i,ret,win,is_sample
976,980,0.001763751457937032,1,0
988,992,0.0020055064172695984,1,0
993,997,0.0013865516402022803,1,0
998,1002,0.00398385532761362,1,0
1032,1036,0.004697729991958181,1,0
1037,1041,0.004118948410241024,1,0
1042,1046,0.00548656789989068,1,0
1047,1051,0.010265450610540912,1,0
1053,1057,-0.0008153505063127523,0,0
1058,1062,-0.0018428354393221972,0,0
1126,1130,0.00030197802288064643,1,0
1131,1135,-0.0009042008958868213,0,0
1136,1140,0.0008501517577029828,1,0
1141,1145,0.0003440358320754393,1,0
1146,1150,0.0008916454891993645,1,0
1174,1178,0.0010601619442368012,1,0
1326,1330,-0.00026276436820654454,0,0
1331,1335,0.0040092480363093,1,0
1336,1340,0.0034775445778762546,1,0
1341,1345,0.0039586698483538435,1,0
1346,1350,-0.0025356154966604478,0,0
1375,1379,-0.003558506453624385,0,0
1382,1386,-0.0037203831763805294,0,0
1387,1391,0.0009998333231462046,1,0
1392,1396,4.025703825304714e-05,1,0
1397,1401,0.00011814724501899303,1,0
1456,1460,3.380184197136803e-06,1,0
1461,1465,0.0007115842285238966,1,0
1466,1470,0.00011014802059760415,1,0
1471,1475,0.0013631365787725828,1,0
