entry_i,exit_i,ret,win,is_sample
977,985,0.004279586227056316,1,0
986,994,0.004461033796315834,1,0
995,1003,0.0049069750151577805,1,0
1025,1033,0.011904892964050624,1,0
1034,1042,0.01077222765841638,1,0
1043,1051,0.01667781569875759,1,0
1053,1061,-0.0009581361694152705,0,0
1063,1071,-0.0017245512135731292,0,0
1072,1080,0.009928944405329206,1,0
1100,1108,-0.006606504108320045,0,0
1109,1117,-0.009270068845378197,0,0
1118,1126,0.0014001362515016513,1,0
1127,1135,-0.0005722485192663025,0,0
1136,1144,0.0003350562733550472,1,0
1145,1153,0.00059194324287106,1,0
1156,1164,0.00044986016969584684,1,0
1165,1173,0.0005534756515024597,1,0
1174,1182,0.00501051629297684,1,0
1201,1209,0.0009196416975399053,1,0
1211,1219,-0.0004338349598223196,0,0
1220,1228,0.00010876945373948055,1,0
1229,1237,-0.001528473209182013,0,0
1238,1246,0.002875783472684728,1,0
1247,1255,0.0018266560478836045,1,0
1256,1264,0.004492387891350002,1,0
1265,1273,0.0033993717292599692,1,0
1274,1282,-0.006553574251318255,0,0
1326,1334,0.006309274504808546,1,0
1335,1343,0.005692629476425726,1,0
1344,1352,-0.014515656490854106,0,0
1400,1408,-0.006920941127312036,0,0
1409,1417,-0.00197170439018154,0,0
1418,1426,-0.0035501924099924265,0,0
1450,1458,0.0018362928617659774,1,0
1459,1467,0.0016149646694511356,1,0
1468,1476,0.0028091842646734014,1,0
